Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,PK,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,Team
William Saliba,fr FRA,DF,22.0,38,38,3420.0,38.0,2.0,1.0,0.0,4.0,0.0,1.6,1.6,0.2,16.0,157.0,Arsenal
Declan Rice,eng ENG,MF,24.0,38,37,3225.0,35.8,7.0,8.0,0.0,5.0,0.0,3.3,3.3,5.3,75.0,278.0,Arsenal
Martin Ødegaard,no NOR,MF,24.0,35,35,3091.0,34.3,8.0,10.0,2.0,2.0,0.0,7.4,5.8,9.6,91.0,344.0,Arsenal
Ben White,eng ENG,DF,25.0,37,35,2988.0,33.2,4.0,4.0,0.0,8.0,0.0,1.2,1.2,3.8,44.0,192.0,Arsenal
Bukayo Saka,eng ENG,FW,21.0,35,35,2919.0,32.4,16.0,9.0,6.0,4.0,0.0,15.5,10.8,10.5,155.0,126.0,Arsenal
Gabriel Magalhães,br BRA,DF,25.0,36,34,3044.0,33.8,4.0,0.0,0.0,4.0,0.0,4.3,4.3,0.7,13.0,117.0,Arsenal
David Raya,es ESP,GK,27.0,32,32,2880.0,32.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,Arsenal
Kai Havertz,de GER,"MF,FW",24.0,37,30,2634.0,29.3,13.0,7.0,1.0,11.0,0.0,12.3,11.6,4.4,55.0,99.0,Arsenal
Gabriel Martinelli,br BRA,FW,22.0,35,24,2019.0,22.4,6.0,4.0,0.0,1.0,0.0,6.8,6.8,6.1,127.0,65.0,Arsenal
Oleksandr Zinchenko,ua UKR,DF,26.0,27,20,1722.0,19.1,1.0,2.0,0.0,2.0,0.0,0.6,0.6,2.5,40.0,229.0,Arsenal
Leandro Trossard,be BEL,"FW,MF",28.0,34,18,1649.0,18.3,12.0,1.0,0.0,2.0,0.0,7.9,7.9,2.8,66.0,76.0,Arsenal
Gabriel Jesus,br BRA,FW,26.0,27,17,1478.0,16.4,4.0,5.0,0.0,6.0,0.0,6.3,6.3,3.8,38.0,42.0,Arsenal
Jakub Kiwior,pl POL,DF,23.0,20,11,946.0,10.5,1.0,3.0,0.0,1.0,0.0,0.8,0.8,0.9,4.0,55.0,Arsenal
Takehiro Tomiyasu,jp JPN,DF,24.0,22,10,1149.0,12.8,2.0,1.0,0.0,2.0,1.0,1.5,1.5,0.4,17.0,72.0,Arsenal
Eddie Nketiah,eng ENG,FW,24.0,27,10,1082.0,12.0,5.0,2.0,0.0,3.0,0.0,4.5,4.5,0.8,22.0,20.0,Arsenal
Jorginho,it ITA,MF,31.0,24,10,921.0,10.2,0.0,2.0,0.0,1.0,0.0,0.1,0.1,1.4,8.0,101.0,Arsenal
Thomas Partey,gh GHA,"MF,DF",30.0,14,9,788.0,8.8,0.0,0.0,0.0,3.0,0.0,0.4,0.4,0.3,15.0,72.0,Arsenal
Aaron Ramsdale,eng ENG,GK,25.0,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,Arsenal
Emile Smith Rowe,eng ENG,MF,23.0,13,3,353.0,3.9,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.2,11.0,23.0,Arsenal
Fabio Vieira,pt POR,"MF,FW",23.0,11,2,297.0,3.3,1.0,2.0,1.0,0.0,1.0,1.3,0.5,1.6,12.0,15.0,Arsenal
Reiss Nelson,eng ENG,FW,23.0,15,1,268.0,3.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.6,9.0,5.0,Arsenal
